16 edged hard leather whip tipped with highsteel razorblades;30% mithril, 15% highsteel, 55% leather
Tangerine bracers;20% gold, 30% topaz, 50% sunstone
tarnished Golden Bracelets;gold
tarnished Golden Helm;gold
tattered monk's sleeves;cloth
Tattered Silver Shimmering Cloak;silk
tattered yellow robes;wool
tatters of a leather harness;10% brass, 90% leather
Tazbal's ring of Sorcery;platinum
The Amberley Ankh;bloodstone
The Amulet of the Snow Dog;paper
the amulet of the Wendigo Warrior;leather
The Amulet of Truth;gold
The ancient bracers of the king Pen'en-en'eb;5% steel, 95% silver
The Apocalyptic battle axe;palladium
the armour of Shalanniel;steel
the Axe named 'Bane';adamantium
The Axe of Destruction 'Deathreaver';diamond
The Battlesuit of Dah'bec;highsteel
The beautiful silk vest of bishop Abriel;silk
The belt of Bruthakas;leather
the black grimoire;75% paper, 25% leather
The black robe of Galiwin;cloth
the black Skeletal Plates;adamantium
the black wand of Eidrex known as 'Eig';ebony
the Blade of Death;mithril
the blazing spear;5% dragonscale, 70% oak, 15% glass, 10% leather
the Blessed Holy Defender ....It emits a white aura!!;mithril
The Blood Axe;highsteel
the blood-red axe known as 'Blood-drinker';ruby
The Bloodred Bone Mace;titanium
the blood red gown;silk
The Blood Trident;highsteel
the Bloody Tail Spike of the Wretched;adamantium
the blue bracelets of magic;steel
the blue sash of the eunuch;silk
the Bone Sword of Captain Annihilation;bone
The boots of Armaghast;starmetal
the bracelet of looking slightly gay;amber
the bracelet of no forgiveness;amber
the bracelets of axidia;pewter
the Bracelets of Darkness;iron
The bracers of Anvil and Star;adamantium
The Bracers of Gods;diamond
The breastplate of the clan Amberley (blessed);topaz
the bright blue staff of exploration;85% oak, 1% silver, 13% crystal, 1% leather
The Brutal Axe of Mohan;iron
The brutal Maul named 'Grolth';adamantium
The cloak of the Mug-Ur;fur
The cold black Eyes of the Leopard;flesh
The Cold Queen's Chalice;ice
The Cold Queen's Crown;ice
the collar of blue pearls;5% pearl, 85% mithril, 2% silk, 8% leather
the collar of Gan Eyir;highsteel
The crackled ring of passion, 'Love's dischord';50% ice, 50% fire
the Crown of Eyes;laen
the crown of mental power;sapphire
the Crown of Vipers;1% bone, 10% flesh, 75% bronze, 10% emerald, 4% leather
the crystite bracers of a dwarven spellhammer;50% crystal, 50% adamantium
The Cutlass of Cold;adamantium
the Dagger of Last Rites;70% bone, 30% diamond
The Dah'bec crown;gold
The dark belt Hamel;50% mithril, 50% quicksilver
the dark bracelets of azakh-khanan;platinum
the dark shield of judgement;5% highsteel, 90% ebony, 5% amethyst
The Demon Sickle;mithril
the demon staff;oak
The Divine Amberley Breastplate;topaz
The dogboy's axe;tungsten
the dream ring;gold
the drow flail;adamantium
the Drow Lord's Axe;highsteel
The durandium battleaxe of Eoworian;durandium
the empowered Necroblade;81% starmetal, 19% adamantium
the enormous two handed sword of the sorrow spirit;10% copper, 10% marble, 80% darksteel
the ethereal claymore of heavenly light (holy);enchanted air
the Famed Amulet of Fire;ruby
the famed laen dagger named Fleshhunter;laen
The famous sword called 'The Preserver';chrysoberyl
The fierce halberd called 'Mauler';topaz
the fiery Warhammer of the Builder;highsteel
The flail of salvation (holy);30% ivory, 70% highsteel
the flail of the dead;jade
the Flametongue, lash of hellfire;iron
The fresh Tail from the Maneater of Rudraprayag;fur
the frozen ice belt of the demon lord;ice
the gauntlets of the goat-demon;platinum
The ghoulish shield of the Great Mogul of Emilan;5% ice, 10% onyx, 10% bone, 40% iridium, 30% vanadium, 5% enchanted air
The glass longsword Seryok;laen
The glass longsword Surchek;laen
The gleaming blue collar of Bengalore;water
the gleaming dagger of Scara;potassium
the gleaming Paingiver axe;titanium
the glove of the undead captain;10% cloth, 90% highsteel
the Great Belt of the Demon Queen of Spiders;5% sapphire, 45% bone, 5% opal, 45% flesh
The Great Sun Sword of Apollo;adamantium
The Halberd of Night;highsteel
The hammer of Justice;bloodstone
the Hell axe;zhentorium
The holy sword of Heaven;steel
The HUGE axe of DOOM;mithril
The HUGE (undead) crushing maul;hematite
The Ice Medallion of Arryac;crystal
the icy tail ring of mew-kissa;25% ice, 75% silver
the infamous serrated mithril blade known as the Shredder;mithril
The Khopesh of Destruction;diamond
the Legendary Axe of Fire;adamantium
the legendary blade of trust;adamantium
the legendary falchion called Kan Chiang;10% bone, 70% steel, 18% gold, 2% leather
the legendary falchion called Mo Yeh;10% bone, 18% gold, 70% steel, 2% leather
The Legendary Holy Blade of Hael-Cholaer;laen
the legendary iron Mace of Luck;iron
The Legendary Shield known as 'The Fire and the Fury';diamond
the lifeless, crimson heart of Balhannoth;flesh
the lightning belt of the Zeus;osmium
The lost shoes of the Shadowking;dragonscale
the MacDuff longsword;highsteel
the mace named 'Butterfly Smasher';steel
the mace of bloody thorns;wood
The magic scale of the Vaka;iron
The Malady blade;zhentorium
The Mask of Higher Consciousness;35% pearl, 40% tadmium, 10% diamond, 15% dragonscale
The Maul of Choking;laen
the Maul of Titans;nullium
The Mythical Frostblade;diamond
The Nasty Triple-Edged Axe known as 'Axe of Brantis';adamantium
The Necklace of Holy Warfare;silver
the necklace of the oppressed;50% weenite, 50% adamantium
the Necroblade;81% starmetal, 19% adamantium
the opal ring of Oystria;opal
the Paingiver axe;batium
The Pelt from the Maneater of Rudraprayag;fur
the pikebone kanteel;bone
the protectors;laen
the radient bracelets of primordial form;illumium
the ragged tome of knowledge;dragonscale
The rainbow blade;titanium
The Ranger Sword;silver
the rig of the farmer;leather
the ring of spirits;silver
The ring of the earthworm;stone
the robe of Mingramil;cloth
the robes of Haliban the Archmage;silk
the royal sceptre;20% gold, 80% birch
the royal tiara of the western plains;85% silk, 5% pearl, 10% silver
the sabre 'green death';brass
the sandals of the alchemist;leather
the Scarab of Magerathia;diamond
The Sceptre of the Apocalypse;ebony
the scintillating crystal belt of illusion;crystal
the Shaft of Light;mithril
the sharp edged crystal sai known as 'Syth';crystal
The Shield of Courage;adamantium
the shield of Igor Twinbeard, master of anvil and hammer (rare);durandium
The Shield of the Wind;adamantium
The shimmering sword of justice;mithril
the shining helm of azakh-khanan;titanium
the singing sword;highsteel
The skull flail;zhentorium
the snow white Blade of Quickness;15% silver, 80% adamantium, 5% jade
the Solamnian Necklace of Kingfisher, Rose and Crown;10% gold, 45% aquamarine, 45% adamantium
The spectral crown;steel
The spiked loop;steel
the spirit-sword of the Sshai;indium
The staff of Lerethin;mithril
the staff of olympus;wood
The staff of Ulmat-Took;wood
the steel gauntlets of damnation;steel
the stone amulet of the earth elementalist;stone
the stone suit of the gods;concrete
the Storm Whip;iron
the Sun Belt of Apollo;nullium
the sword of Alainniel;jade
The sword of Divine Glory;chrysoberyl
The sword of law;iron
The sword of the clan Amberley (blessed);laen
the tentacles of Rust monster;iron
the tiara of clear thought (rare);crystal
the Torso Maker sword;laen
the transparent leather shoe of ignorance;leather
The Trilloch's cloak;neo burlap
the Trilloch's ring;50% starmetal, 50% weenite
the Trilloch's sword;dragonscale
The vest of Abriel;steel
the war mattock of the ogre king;molybdenum
The Winter Spear;ice
thick adamantium ring;adamantium
thick black tome with a spider on the cover;leather
thick crystite bracelets;50% crystal, 50% adamantium
Thick fur cloak;fur
thick golden ringband;gold
thick red tome with star of Tarmalen on the cover;leather
thin black silken gloves;90% silk, 10% leather
(Thomas' booming voice!);air
Thor's legendary mace of Thunder bathed in electric sparks;mithril
thrashing, pulsating severed tip of a doom tentacle;flesh
Thump, the Battle Mace;bloodstone
Tiamat Amulet;NULL
Tiara of closed mind;sapphire
Tiburcio's amulet;mithril
Tiger Vest;NULL
tight white cape with an emblem of authority;cloth
Tim's powerful staff;ebony
Tiny cap;zhentorium
Tisau, the Circlet of Power;mithril
Tome of Chaos (CHAOTIC);paper
Tome of Chaos (death);paper
Tome of Chaos;paper
Tom's Blue Coat;mithril
torn strips of shadow;air
translucent cloak 'Dawn of awakening';90% enchanted air, 1% starmetal, 9% silk
transparent cutlass made of glass;glass
Transparent flickering glove;80% enchanted air, 15% air, 5% ice
Transparent shimmering glove;15% air, 80% enchanted air, 5% fire
trauers, consumers of light;laen
turquoise ring;turquoise
Twinkling silver cape of true conjurer;silk
twisted iron rod;iron
twisted swirl of madness;enchanted air
twitching, pus-filled remains of a horrid black tentacle;flesh
Two hairy balls hanging on a narrow string;flesh
Uranium Boots...emitting a deadly red aura;uranium
Vampiric sash of Yavie;leather
--,--'<@;vegetation
vest with many small items hanging on it;wool
Viper ring;coral
Visored helmet of Kaela Jaessar;5% silver, 25% cobalt, 20% darksteel, 20% electrum, 20% durandium, 10% nullium
Ward Baasah's wispy cloud shorts;10% enchanted air, 90% silk
Warrior's leather hip boots;leather
Watermelon Staff;mallorn
weather beaten leather boots;leather
webbed chain;steel
weenite boots;weenite
well-made brass bagpipes;brass
well-made brass trumpet;brass
well-made gold harp;gold
well-made oak lute;oak
Well-made silver flute;NULL
well-made wood drum;wood
well-made wood guitar;wood
white belt decorated with a star;silk
white bracers of Quickness;mithril
white breastplate of the high guardian;highsteel
white breastplate with rose ornament;highsteel
white cloak;cloth
white coat with many pockets;cloth
white dragon mask; 49% elm, 51% dragonscale
white featureless mask decorated with a star;highsteel
white gloves decorated with a star;silk
white helmet of the defender;jade
white jeweled neck chain;30% silver, 70% zircon
white leather wand case;leather
white legplates radiating with soft light;highsteel
white military gauntlets;tungsten
White mycelium boot;80% cloth, 10% earth, 10% chalk
white robe decorated with a star;silk
white ruffled shirt;cotton
white slippers with silver embroidery;7% silver, 63% cloth, 30% wood
wide leather belt with gold lion-head buckle; 30% gold, 70% leather
wide red leather collar with tarnished steel studs;10% steel, 90% leather
Winds circling around, encasing the form;ice
wings of the Seraphim;enchanted air
wonderful boots of evasion;leather
Wooden rod of Gadelar;birch
wool mittens with red and white square pattern;wool
worn-out black leather mittens;100% leather
yellow leather leggings;leather
Zcandler's Repulsive Brown Iguana Skin Leggings;leather
Zeltjin's tail;dragonscale
Zhentorium reinforced legging of Xzui;5% gold, 80% zhentorium, 15% jade
